Desc_Carrera,Desc_Materia,Calif_Final,sexo,edad,Grado  
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,10.00,F,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_II,8.00,F,18.00,6
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,10.00,F,19.00,4
PREPARATORIA,BIOLOGIA II,10.00,F,19.00,4
PREPARATORIA,METODOLOGIA_DE_LA_INVESTIGAC.,9.00,F,19.00,4
PREPARATORIA,HISTORIA_DE_NUESTRO_TIEMPO,10.00,F,19.00,4
PREPARATORIA,PSICOLOGIA,10.00,F,19.00,4
PREPARATORIA,MATEMATICAS_III,9.00,F,19.00,4
PREPARATORIA,LITERATURA_II,10.00,F,19.00,4
PREPARATORIA,MATEMATICAS_IV,7.00,M,19.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,5.00,M,19.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,6.00,M,19.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,5.00,M,19.00,6
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,7.00,F,21.00,5
PREPARATORIA,MATEMATICAS_IV,7.00,F,21.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,7.00,F,21.00,5
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,5.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,5.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,8.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,5.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,8.00,M,18.00,6
PREPARATORIA,BIOLOGIA II,5.00,M,19.00,4
PREPARATORIA,MATEMATICAS_IV,5.00,M,19.00,4
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,5.00,M,19.00,4
PREPARATORIA,PSICOLOGIA,5.00,M,19.00,4
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,5.00,M,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,5.00,M,19.00,6
PREPARATORIA,CALCULO_INTEGRAL,5.00,M,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,5.00,F,20.00,6
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,8.00,F,20.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,F,20.00,6
PREPARATORIA,TECNOLOGIA_II,7.00,F,20.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,6.00,F,20.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,F,20.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,M,19.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,M,19.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,8.00,M,19.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,19.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,M,19.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,7.00,M,18.00,6
PREPARATORIA,MATEMATICAS_IV,5.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,7.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,M,18.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,5.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_I,7.00,M,18.00,6
PREPARATORIA,TALLER_DE_INDUCCION_A_LA_LIC.,5.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,8.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,8.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_I,10.00,M,20.00,5
PREPARATORIA,DERECHO,10.00,M,20.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,9.00,M,20.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,10.00,M,20.00,5
PREPARATORIA,TECNOLOGIA_I,10.00,M,20.00,5
PREPARATORIA,FILOSOFIA,7.00,M,18.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,6.00,M,18.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,8.00,M,18.00,5
PREPARATORIA,LITERATURA_II,7.00,M,18.00,5
PREPARATORIA,TECNOLOGIA_I,8.00,M,18.00,5
PREPARATORIA,ADMINISTRACION_II,9.00,F,19.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,6.00,F,19.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,7.00,F,19.00,6
PREPARATORIA,ADMINISTRACION_II,7.00,M,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,7.00,M,19.00,6
PREPARATORIA,CALCULO_INTEGRAL,6.00,M,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,5.00,M,19.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,19.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,19.00,6
PREPARATORIA,TECNOLOGIA_II,6.00,M,19.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,19.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,F,19.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,6.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,8.00,M,18.00,6
PREPARATORIA,SOCIOLOGIA,7.00,M,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,8.00,M,18.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,7.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,7.00,F,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,5.00,F,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,5.00,F,19.00,6
PREPARATORIA,CALCULO_INTEGRAL,5.00,F,19.00,6
PREPARATORIA,TEM.SELEC.DE_CIENC.D.LA_SAL.I,5.00,F,19.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,6.00,M,19.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,19.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,6.00,M,19.00,6
PREPARATORIA,TECNOLOGIA_II,7.00,M,19.00,6
PREPARATORIA,ADMINISTRACION_II,6.00,M,19.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,9.00,F,19.00,6
PREPARATORIA,DERECHO,9.00,F,19.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,19.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,F,19.00,6
PREPARATORIA,TECNOLOGIA_I,9.00,F,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,5.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,7.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,7.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,8.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,10.00,F,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,F,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,6.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,8.00,F,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,8.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,8.00,F,18.00,6
